method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,n_social_bouts
whole_trial_mean_MAD,W1__ID584_NE__3CT_FP12_3__3CT_W1_C3-Trial____15,584,NE,Hab,W1,Social_interaction,56.50000000000004,23,0.4070796460176988,24.42477876106193,1.964341336795234,1.8007229001384255,0.0,0.7899644511175752,1.1849466766763628,8
whole_trial_mean_MAD,W1__ID584_NE__3CT_FP13_3__3CT_W1_C3-Trial____16,584,NE,Social,W1,Entire_trial,299.8402560000013,88,0.2934896106812276,17.609376640873656,2.1306843361063614,1.9746685310185226,0.0,0.7951184254994658,1.1926776382491986,15
whole_trial_mean_MAD,W1__ID584_NE__3CT_FP13_3__3CT_W1_C3-Trial____16,584,NE,Social,W1,Social_interaction,147.49999999999997,44,0.2983050847457628,17.89830508474577,2.1878611736201123,2.0059129841628724,0.0,0.7951184254994658,1.1926776382491986,15
whole_trial_mean_MAD,W1__ID584_NE__3CT_FP14_3__3CT_W1_C3-Trial____17,584,NE,Novel,W1,Entire_trial,299.8400959999999,88,0.2934897672924972,17.609386037549832,2.147939542188389,1.8546486424490904,4.359739341731974e-17,0.7545474993286913,1.1318212489930368,10
whole_trial_mean_MAD,W1__ID584_NE__3CT_FP14_3__3CT_W1_C3-Trial____17,584,NE,Novel,W1,Social_interaction,95.07999999999998,24,0.25241901556583934,15.14514093395036,1.932963573461965,1.92253879291978,4.359739341731974e-17,0.7545474993286913,1.1318212489930368,10
whole_trial_mean_MAD,W1__ID450_NE__3CT_FP19_3__3CT_W1_C3-Trial____23,450,NE,Hab,W1,Entire_trial,299.8407360000001,81,0.2701434137354838,16.208604824129026,1.6966377035227604,1.5953469944379783,5.3075087638476207e-17,0.7683493624979196,1.1525240437468796,8
whole_trial_mean_MAD,W1__ID450_NE__3CT_FP19_3__3CT_W1_C3-Trial____23,450,NE,Hab,W1,Social_interaction,6.179999999999989,0,0.0,0.0,,,5.3075087638476207e-17,0.7683493624979196,1.1525240437468796,8
whole_trial_mean_MAD,W1__ID450_NE__3CT_FP20_3__3CT_W1_C3-Trial____24,450,NE,Social,W1,Entire_trial,299.8806400000003,85,0.28344610709114104,17.006766425468463,1.7303499626576915,1.5400592830889093,5.685858114911445e-17,0.7648134664360868,1.1472201996541302,15
whole_trial_mean_MAD,W1__ID450_NE__3CT_FP20_3__3CT_W1_C3-Trial____24,450,NE,Social,W1,Social_interaction,67.56,12,0.17761989342806395,10.657193605683837,1.6878562388961027,1.5223537555964397,5.685858114911445e-17,0.7648134664360868,1.1472201996541302,15
whole_trial_mean_MAD,W1__ID450_NE__3CT_FP21_3__3CT_W1_C3-Trial____25,450,NE,Novel,W1,Entire_trial,299.840416,73,0.24346284258090142,14.607770554854085,1.7875658272862667,1.6052547221769486,-3.0328621507700686e-17,0.7948664005828624,1.1922996008742937,7
whole_trial_mean_MAD,W1__ID450_NE__3CT_FP21_3__3CT_W1_C3-Trial____25,450,NE,Novel,W1,Social_interaction,51.45999999999995,2,0.03886513797123983,2.33190827827439,1.2932112265914348,1.2932112265914348,-3.0328621507700686e-17,0.7948664005828624,1.1922996008742937,7
whole_trial_mean_MAD,W1__ID597_NE__3CT_FP29_3__3CT_W1_C3-Trial____34,597,NE,Hab,W1,Entire_trial,299.83987200000047,87,0.2901548730650467,17.4092923839028,2.0406592745003684,1.7798702692420123,-3.0328621507700686e-17,0.7670834392912786,1.150625158936918,16
whole_trial_mean_MAD,W1__ID597_NE__3CT_FP29_3__3CT_W1_C3-Trial____34,597,NE,Hab,W1,Social_interaction,66.03999999999999,26,0.3937007874015748,23.62204724409449,1.9871294335244907,1.6885855239451448,-3.0328621507700686e-17,0.7670834392912786,1.150625158936918,16
whole_trial_mean_MAD,W1__ID597_NE__3CT_FP30_3__3CT_W1_C3-Trial____35,597,NE,Social,W1,Entire_trial,299.8399680000002,93,0.3101654546601337,18.60992727960802,2.090408699711067,1.8082513759268966,-1.5164310753850343e-17,0.7541128705052239,1.1311693057578358,15
